accession	country	location	description	scientific_name	bio_material	culture_collection	specimen_voucher	sample_accession	study_accession	collected_by	collection_date
AF214242	""	""	Peltastes peltatus trnL-trnF intergenic spacer; chloroplast gene for chloroplast product.	Macropharynx peltata	""	""	3477 (Meise)84-2849, Billiet 3526 (BR),Potgieter DNA 503	""	""	""	""
AF214396	""	""	Peltastes peltatus trnL gene, partial intron sequence; chloroplast gene for chloroplast product.	Macropharynx peltata	""	""	3477 (Meise)84-2849, Billiet 3526 (BR),Potgieter DNA 503	""	""	""	""
AF244892	""	""	Fernelia buxifolia ribosomal protein S16 (rps16) gene, partial intron sequence; chloroplast gene for chloroplast product.	Fernelia buxifolia	""	""	Nat. Bot. Gard. Meise, acc. no.19940025-26; without voucher	""	""	""	""
AM939414	""	""	Pavetta abyssinica chloroplast psbA-trnH intergenic spacer, specimen voucher De Block 6 (BR)(Meise 77-0360)	Pavetta abyssinica	""	""	De Block 6 (BR)(Meise 77-0360)	""	""	""	""
AY270088	""	""	Gomphrena elegans ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast.	Gomphrena elegans	""	""	Th. Borsch 3545; from Bot. Gard. Meise07-4052 (BONN)	""	""	""	""
AY582976	Kenya:near Nairobi	""	Dolichos trilobus trnK gene, partial sequence; and maturase (matK) gene, complete cds; plastid.	Dolichos trilobus	""	""	unknown collector 1961 (MEISE, NI 258)	""	""	""	""
DQ061137	""	""	Moringa oleifera trnL-trnF intergenic spacer, partial sequence; chloroplast.	Moringa oleifera	""	""	1975-2855, National Botanical Garden ofBelgium, Meise	""	""	""	""
DQ521350	""	""	Adenia letouzeyi voucher Meise 39-1490 (Meise, Belguim) 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.	Adenia letouzeyi	""	""	Meise 39-1490 (Meise, Belguim)	""	""	""	""
DQ521351	""	""	Adenia lobata voucher ex. De Wilde 873 (Meise) 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.	Adenia lobata	""	""	ex. De Wilde 873 (Meise)	""	""	""	""
DQ521372	""	""	Adenia gracilis voucher Billiet & Gadin 4044 (Meise) 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence.	Adenia gracilis	""	""	Billiet & Gadin 4044 (Meise)	""	""	""	""
